row_id,order_id,order_date,ship_date,ship_mode,customer_id,postal_code,product_id,sales,units,gross_profit,cost
10191,US-2024-115427-CHO-NUT-13000,20241230,20300626,Standard Class,115427,94533,CHO-NUT-13000,6.98,2,4.98,2
2376,US-2022-106257-CHO-NUT-13000,20220413,20271008,Second Class,106257,90045,CHO-NUT-13000,6.98,2,4.98,2
2387,US-2022-106257-CHO-SCR-58000,20220413,20271008,Second Class,106257,90045,CHO-SCR-58000,7.2,2,5,2.2
3640,US-2022-153283-CHO-FUD-51000,20221112,20280510,Standard Class,153283,10035,CHO-FUD-51000,7.2,2,4.8,2.4
3821,US-2022-111612-CHO-MIL-31000,20221128,20280524,Standard Class,111612,43229,CHO-MIL-31000,16.25,5,10.55,5.7
3827,US-2022-111612-CHO-TRI-54000,20221128,20280524,Standard Class,111612,43229,CHO-TRI-54000,7.5,2,4.9,2.6
5675,US-2023-116561-CHO-NUT-13000,20230911,20290309,Standard Class,116561,95123,CHO-NUT-13000,6.98,2,4.98,2
5685,US-2023-116561-CHO-NUT-13000,20230911,20290309,Standard Class,116561,95123,CHO-NUT-13000,10.47,3,7.47,3
6259,US-2023-121370-CHO-SCR-58000,20231114,20290511,Second Class,121370,19134,CHO-SCR-58000,10.8,3,7.5,3.3
6262,US-2023-121370-CHO-MIL-31000,20231114,20290511,Second Class,121370,19134,CHO-MIL-31000,9.75,3,6.33,3.42
6272,US-2023-121370-CHO-MIL-31000,20231114,20290511,Second Class,121370,19134,CHO-MIL-31000,13,4,8.44,4.56
8604,US-2024-149895-CHO-FUD-51000,20240908,20300305,Standard Class,149895,19134,CHO-FUD-51000,7.2,2,4.8,2.4
1249,US-2021-111962-CHO-SCR-58000,20210929,20270327,Standard Class,111962,98115,CHO-SCR-58000,7.2,2,5,2.2
1256,US-2021-111962-CHO-TRI-54000,20210929,20270327,Standard Class,111962,98115,CHO-TRI-54000,18.75,5,12.25,6.5
1359,US-2021-103086-CHO-FUD-51000,20211017,20270411,Second Class,103086,77095,CHO-FUD-51000,7.2,2,4.8,2.4
2228,US-2022-148705-CHO-MIL-31000,20220312,20270908,Standard Class,148705,28205,CHO-MIL-31000,6.5,2,4.22,2.28
3828,US-2022-142930-CHO-MIL-31000,20221128,20280524,Standard Class,142930,78745,CHO-MIL-31000,13,4,8.44,4.56
6141,US-2023-143441-CHO-SCR-58000,20231105,20290427,Same Day,143441,78041,CHO-SCR-58000,3.6,1,2.5,1.1
9052,US-2024-162635-CHO-TRI-54000,20241009,20300402,First Class,162635,28403,CHO-TRI-54000,15,4,9.8,5.2
1896,US-2021-139633-CHO-MIL-31000,20211217,20270616,Standard Class,139633,43229,CHO-MIL-31000,13,4,8.44,4.56
6638,US-2023-169369-CHO-MIL-31000,20231212,20290609,Standard Class,169369,31907,CHO-MIL-31000,13,4,8.44,4.56
6641,US-2023-169369-CHO-TRI-54000,20231212,20290609,Standard Class,169369,31907,CHO-TRI-54000,18.75,5,12.25,6.5
7251,US-2024-140074-CHO-TRI-54000,20240323,20290919,Standard Class,140074,10024,CHO-TRI-54000,22.5,6,14.7,7.8
8245,US-2024-161102-CHO-MIL-31000,20240731,20300124,First Class,161102,94110,CHO-MIL-31000,22.75,7,14.77,7.98
8252,US-2024-161102-CHO-MIL-31000,20240731,20300124,First Class,161102,94110,CHO-MIL-31000,6.5,2,4.22,2.28
9370,US-2024-163188-CHO-SCR-58000,20241107,20300430,Same Day,163188,73120,CHO-SCR-58000,32.4,9,22.5,9.9
893,US-2021-110527-CHO-MIL-31000,20210809,20270206,Standard Class,110527,92037,CHO-MIL-31000,26,8,16.88,9.12
1677,US-2021-110352-CHO-FUD-51000,20211123,20270522,Standard Class,110352,77036,CHO-FUD-51000,7.2,2,4.8,2.4
3546,US-2022-160227-CHO-FUD-51000,20221102,20280426,First Class,160227,10011,CHO-FUD-51000,39.6,11,26.4,13.2
4084,US-2022-137071-CHO-MIL-31000,20221220,20280612,First Class,137071,77036,CHO-MIL-31000,6.5,2,4.22,2.28
6032,US-2023-118311-CHO-TRI-54000,20231024,20290419,Standard Class,118311,94110,CHO-TRI-54000,18.75,5,12.25,6.5
6718,US-2023-149916-CHO-TRI-54000,20231222,20290615,Second Class,149916,98115,CHO-TRI-54000,15,4,9.8,5.2
6720,US-2023-149916-CHO-FUD-51000,20231222,20290615,Second Class,149916,98115,CHO-FUD-51000,3.6,1,2.4,1.2
7048,US-2024-134838-CHO-NUT-13000,20240219,20290812,First Class,134838,90045,CHO-NUT-13000,10.47,3,7.47,3
7050,US-2024-134838-CHO-MIL-31000,20240219,20290812,First Class,134838,90045,CHO-MIL-31000,9.75,3,6.33,3.42
8352,US-2024-133102-CHO-SCR-58000,20240817,20300214,Standard Class,133102,77095,CHO-SCR-58000,14.4,4,10,4.4
8353,US-2024-133102-CHO-MIL-31000,20240817,20300214,Standard Class,133102,77095,CHO-MIL-31000,9.75,3,6.33,3.42
8361,US-2024-133102-CHO-FUD-51000,20240817,20300214,Standard Class,133102,77095,CHO-FUD-51000,7.2,2,4.8,2.4
3550,US-2022-138625-CHO-TRI-54000,20221102,20280427,First Class,138625,23320,CHO-TRI-54000,15,4,9.8,5.2
6494,US-2023-150861-CHO-FUD-51000,20231203,20290528,First Class,150861,11572,CHO-FUD-51000,10.8,3,7.2,3.6
6497,US-2023-150861-CHO-MIL-31000,20231203,20290528,First Class,150861,11572,CHO-MIL-31000,6.5,2,4.22,2.28
6503,US-2023-150861-CHO-SCR-58000,20231203,20290528,First Class,150861,11572,CHO-SCR-58000,7.2,2,5,2.2
6504,US-2023-150861-CHO-SCR-58000,20231203,20290528,First Class,150861,11572,CHO-SCR-58000,28.8,8,20,8.8
6507,US-2023-150861-CHO-SCR-58000,20231203,20290528,First Class,150861,11572,CHO-SCR-58000,10.8,3,7.5,3.3
7322,US-2024-114524-CHO-TRI-54000,20240331,20290926,Second Class,114524,60623,CHO-TRI-54000,48.75,13,31.85,16.9
9517,US-2024-141719-CHO-FUD-51000,20241117,20300514,Second Class,141719,60540,CHO-FUD-51000,18,5,12,6
9855,US-2024-167570-CHO-TRI-54000,20241208,20300607,Standard Class,167570,19140,CHO-TRI-54000,15,4,9.8,5.2
359,US-2021-142979-CHO-NUT-13000,20210412,20261009,Standard Class,142979,95240,CHO-NUT-13000,6.98,2,4.98,2
1365,US-2021-138450-CHO-FUD-51000,20211018,20270414,Standard Class,138450,19134,CHO-FUD-51000,21.6,6,14.4,7.2
1367,US-2021-138450-CHO-FUD-51000,20211018,20270414,Standard Class,138450,19134,CHO-FUD-51000,14.4,4,9.6,4.8
1369,US-2021-138450-CHO-SCR-58000,20211018,20270414,Standard Class,138450,19134,CHO-SCR-58000,21.6,6,15,6.6
3136,US-2022-147242-CHO-NUT-13000,20220910,20280306,Standard Class,147242,02151,CHO-NUT-13000,6.98,2,4.98,2
3139,US-2022-147242-CHO-SCR-58000,20220910,20280306,Standard Class,147242,02151,CHO-SCR-58000,7.2,2,5,2.2
3142,US-2022-147242-CHO-NUT-13000,20220910,20280306,Standard Class,147242,02151,CHO-NUT-13000,31.41,9,22.41,9
4433,US-2023-136301-OTH-LIC-15000,20230313,20280904,Second Class,136301,94109,OTH-LIC-15000,40,2,20,20
4447,US-2023-136301-CHO-NUT-13000,20230313,20280904,Second Class,136301,94109,CHO-NUT-13000,10.47,3,7.47,3
4706,US-2023-158155-CHO-TRI-54000,20230502,20281026,Standard Class,158155,10009,CHO-TRI-54000,18.75,5,12.25,6.5
4709,US-2023-158155-CHO-TRI-54000,20230502,20281026,Standard Class,158155,10009,CHO-TRI-54000,11.25,3,7.35,3.9
4711,US-2023-158155-CHO-FUD-51000,20230502,20281026,Standard Class,158155,10009,CHO-FUD-51000,7.2,2,4.8,2.4
4886,US-2023-155565-CHO-SCR-58000,20230528,20281117,Same Day,155565,10035,CHO-SCR-58000,18,5,12.5,5.5
4926,US-2023-119046-CHO-MIL-31000,20230602,20281126,Standard Class,119046,98115,CHO-MIL-31000,9.75,3,6.33,3.42
4927,US-2023-119046-CHO-MIL-31000,20230602,20281126,Standard Class,119046,98115,CHO-MIL-31000,39,12,25.32,13.68
4928,US-2023-119046-CHO-FUD-51000,20230602,20281126,Standard Class,119046,98115,CHO-FUD-51000,10.8,3,7.2,3.6
5813,US-2023-100944-CHO-TRI-54000,20230924,20290320,Standard Class,100944,90049,CHO-TRI-54000,18.75,5,12.25,6.5
5820,US-2023-100944-CHO-SCR-58000,20230924,20290320,Standard Class,100944,90049,CHO-SCR-58000,18,5,12.5,5.5
6069,US-2023-153836-CHO-SCR-58000,20231030,20290425,Standard Class,153836,10011,CHO-SCR-58000,18,5,12.5,5.5
6070,US-2023-153836-CHO-FUD-51000,20231030,20290425,Standard Class,153836,10011,CHO-FUD-51000,10.8,3,7.2,3.6
6725,US-2023-135776-OTH-LIC-15000,20231223,20290621,Standard Class,135776,98103,OTH-LIC-15000,40,2,20,20
6726,US-2023-135776-CHO-SCR-58000,20231223,20290621,Standard Class,135776,98103,CHO-SCR-58000,10.8,3,7.5,3.3
6728,US-2023-135776-OTH-KAZ-38000,20231223,20290621,Standard Class,135776,98103,OTH-KAZ-38000,6.5,2,0.5,6
6732,US-2023-135776-CHO-TRI-54000,20231223,20290621,Standard Class,135776,98103,CHO-TRI-54000,7.5,2,4.9,2.6
6733,US-2023-135776-OTH-KAZ-38000,20231223,20290621,Standard Class,135776,98103,OTH-KAZ-38000,3.25,1,0.25,3
6734,US-2023-135776-CHO-SCR-58000,20231223,20290621,Standard Class,135776,98103,CHO-SCR-58000,7.2,2,5,2.2
6735,US-2023-135776-CHO-TRI-54000,20231223,20290621,Standard Class,135776,98103,CHO-TRI-54000,15,4,9.8,5.2
6920,US-2024-152499-CHO-MIL-31000,20240122,20290717,Second Class,152499,60623,CHO-MIL-31000,9.75,3,6.33,3.42
6921,US-2024-152499-CHO-TRI-54000,20240122,20290717,Second Class,152499,60623,CHO-TRI-54000,18.75,5,12.25,6.5
8349,US-2024-111423-CHO-TRI-54000,20240817,20300209,First Class,111423,13601,CHO-TRI-54000,7.5,2,4.9,2.6
8356,US-2024-111423-CHO-NUT-13000,20240817,20300209,First Class,111423,13601,CHO-NUT-13000,17.45,5,12.45,5
696,US-2021-107594-CHO-SCR-58000,20210702,20261227,Standard Class,107594,07060,CHO-SCR-58000,3.6,1,2.5,1.1
697,US-2021-107594-CHO-SCR-58000,20210702,20261227,Standard Class,107594,07060,CHO-SCR-58000,7.2,2,5,2.2
2819,US-2022-149384-CHO-SCR-58000,20220710,20271231,Same Day,149384,85281,CHO-SCR-58000,10.8,3,7.5,3.3
4022,US-2022-114048-CHO-TRI-54000,20221214,20280609,Standard Class,114048,92627,CHO-TRI-54000,11.25,3,7.35,3.9
4224,US-2023-121755-CHO-TRI-54000,20230116,20280712,Second Class,121755,90049,CHO-TRI-54000,7.5,2,4.9,2.6
4225,US-2023-121755-CHO-SCR-58000,20230116,20280712,Second Class,121755,90049,CHO-SCR-58000,10.8,3,7.5,3.3
6298,US-2023-110156-CHO-NUT-13000,20231119,20290516,Standard Class,110156,77041,CHO-NUT-13000,6.98,2,4.98,2
6305,US-2023-110156-CHO-TRI-54000,20231119,20290516,Standard Class,110156,77041,CHO-TRI-54000,7.5,2,4.9,2.6
6307,US-2023-110156-CHO-FUD-51000,20231119,20290516,Standard Class,110156,77041,CHO-FUD-51000,18,5,12,6
6308,US-2023-110156-CHO-MIL-31000,20231119,20290516,Standard Class,110156,77041,CHO-MIL-31000,9.75,3,6.33,3.42
6309,US-2023-110156-CHO-NUT-13000,20231119,20290516,Standard Class,110156,77041,CHO-NUT-13000,41.88,12,29.88,12
6312,US-2023-110156-CHO-FUD-51000,20231119,20290516,Standard Class,110156,77041,CHO-FUD-51000,21.6,6,14.4,7.2
6315,US-2023-110156-CHO-TRI-54000,20231119,20290516,Standard Class,110156,77041,CHO-TRI-54000,18.75,5,12.25,6.5
6411,US-2023-158288-CHO-FUD-51000,20231126,20290520,Second Class,158288,19120,CHO-FUD-51000,32.4,9,21.6,10.8
7724,US-2024-153080-CHO-TRI-54000,20240522,20291115,Second Class,153080,90008,CHO-TRI-54000,26.25,7,17.15,9.1
7745,US-2024-160458-CHO-FUD-51000,20240527,20291119,Second Class,160458,38109,CHO-FUD-51000,18,5,12,6
34,US-2021-103366-CHO-SCR-58000,20210115,20260710,First Class,103366,30076,CHO-SCR-58000,18,5,12.5,5.5
524,US-2021-138513-CHO-TRI-54000,20210523,20261117,Standard Class,138513,98006,CHO-TRI-54000,7.5,2,4.9,2.6
1681,US-2021-102295-CHO-MIL-31000,20211124,20270519,Second Class,102295,95823,CHO-MIL-31000,3.25,1,2.11,1.14
3308,US-2022-156510-CHO-FUD-51000,20220925,20280321,Standard Class,156510,06450,CHO-FUD-51000,3.6,1,2.4,1.2
3309,US-2022-156510-CHO-SCR-58000,20220925,20280321,Standard Class,156510,06450,CHO-SCR-58000,7.2,2,5,2.2
4523,US-2023-124100-CHO-MIL-31000,20230331,20280926,Standard Class,124100,10009,CHO-MIL-31000,19.5,6,12.66,6.84
6337,US-2023-107790-CHO-SCR-58000,20231120,20290516,Standard Class,107790,77041,CHO-SCR-58000,3.6,1,2.5,1.1
480,US-2021-140165-CHO-TRI-54000,20210513,20261105,First Class,140165,33012,CHO-TRI-54000,30,8,19.6,10.4
481,US-2021-140165-CHO-FUD-51000,20210513,20261105,First Class,140165,33012,CHO-FUD-51000,7.2,2,4.8,2.4
1817,US-2021-154592-CHO-TRI-54000,20211207,20270531,First Class,154592,94109,CHO-TRI-54000,11.25,3,7.35,3.9
4692,US-2023-152814-CHO-NUT-13000,20230428,20281022,Standard Class,152814,80219,CHO-NUT-13000,10.47,3,7.47,3
7817,US-2024-133095-CHO-NUT-13000,20240604,20291125,Same Day,133095,72401,CHO-NUT-13000,24.43,7,17.43,7
7819,US-2024-133095-CHO-TRI-54000,20240604,20291125,Same Day,133095,72401,CHO-TRI-54000,11.25,3,7.35,3.9
8815,US-2024-167381-CHO-TRI-54000,20240922,20300317,Second Class,167381,48911,CHO-TRI-54000,7.5,2,4.9,2.6
8824,US-2024-167381-CHO-TRI-54000,20240922,20300317,Second Class,167381,48911,CHO-TRI-54000,33.75,9,22.05,11.7
9728,US-2024-144862-OTH-GUM-21000,20241201,20300528,Standard Class,144862,19143,OTH-GUM-21000,6.25,5,3.25,3
9742,US-2024-144862-CHO-MIL-31000,20241201,20300528,Standard Class,144862,19143,CHO-MIL-31000,22.75,7,14.77,7.98
10168,US-2024-127516-CHO-TRI-54000,20241228,20300626,Standard Class,127516,37211,CHO-TRI-54000,3.75,1,2.45,1.3
1377,US-2021-100867-CHO-FUD-51000,20211019,20270416,Standard Class,100867,90712,CHO-FUD-51000,21.6,6,14.4,7.2
2363,US-2022-134201-CHO-TRI-54000,20220410,20271007,Standard Class,134201,14609,CHO-TRI-54000,11.25,3,7.35,3.9
2365,US-2022-134201-CHO-MIL-31000,20220410,20271007,Standard Class,134201,14609,CHO-MIL-31000,13,4,8.44,4.56
3818,US-2022-154389-CHO-TRI-54000,20221127,20280525,Standard Class,154389,19140,CHO-TRI-54000,30,8,19.6,10.4
4570,US-2023-104969-CHO-FUD-51000,20230408,20281004,Standard Class,104969,45373,CHO-FUD-51000,21.6,6,14.4,7.2
4573,US-2023-104969-CHO-NUT-13000,20230408,20281004,Standard Class,104969,45373,CHO-NUT-13000,3.49,1,2.49,1
4823,US-2023-146010-CHO-SCR-58000,20230520,20281112,First Class,146010,80906,CHO-SCR-58000,25.2,7,17.5,7.7
4850,US-2023-136126-OTH-KAZ-38000,20230524,20281113,Same Day,136126,23602,OTH-KAZ-38000,13,4,1,12
4851,US-2023-136126-CHO-MIL-31000,20230524,20281113,Same Day,136126,23602,CHO-MIL-31000,16.25,5,10.55,5.7
5758,US-2023-156097-CHO-NUT-13000,20230919,20290311,Same Day,156097,60505,CHO-NUT-13000,6.98,2,4.98,2
6961,US-2024-112725-CHO-NUT-13000,20240130,20290729,Standard Class,112725,94110,CHO-NUT-13000,3.49,1,2.49,1
6965,US-2024-112725-CHO-FUD-51000,20240130,20290729,Standard Class,112725,94110,CHO-FUD-51000,10.8,3,7.2,3.6
6967,US-2024-112725-CHO-SCR-58000,20240130,20290729,Standard Class,112725,94110,CHO-SCR-58000,25.2,7,17.5,7.7
7953,US-2024-124744-CHO-MIL-31000,20240621,20291216,Standard Class,124744,26003,CHO-MIL-31000,6.5,2,4.22,2.28
7955,US-2024-124744-CHO-TRI-54000,20240621,20291216,Standard Class,124744,26003,CHO-TRI-54000,18.75,5,12.25,6.5
7956,US-2024-124744-CHO-NUT-13000,20240621,20291216,Standard Class,124744,26003,CHO-NUT-13000,27.92,8,19.92,8
8253,US-2024-125752-CHO-NUT-13000,20240731,20300125,Standard Class,125752,33311,CHO-NUT-13000,6.98,2,4.98,2
518,US-2021-143840-CHO-FUD-51000,20210522,20261119,Standard Class,143840,35601,CHO-FUD-51000,7.2,2,4.8,2.4
519,US-2021-143840-CHO-NUT-13000,20210522,20261119,Standard Class,143840,35601,CHO-NUT-13000,3.49,1,2.49,1
1400,US-2021-139542-CHO-MIL-31000,20211025,20270421,Standard Class,139542,19120,CHO-MIL-31000,9.75,3,6.33,3.42
1402,US-2021-139542-CHO-SCR-58000,20211025,20270421,Standard Class,139542,19120,CHO-SCR-58000,10.8,3,7.5,3.3
1662,US-2021-105340-CHO-MIL-31000,20211122,20270518,First Class,105340,77506,CHO-MIL-31000,3.25,1,2.11,1.14
4549,US-2023-167115-CHO-NUT-13000,20230404,20280929,Standard Class,167115,10035,CHO-NUT-13000,6.98,2,4.98,2
6806,US-2023-160486-CHO-FUD-51000,20231230,20290626,Standard Class,160486,33407,CHO-FUD-51000,14.4,4,9.6,4.8
8734,US-2024-112984-CHO-FUD-51000,20240916,20300311,Second Class,112984,19143,CHO-FUD-51000,21.6,6,14.4,7.2
78,US-2021-117163-CHO-NUT-13000,20210127,20260726,Standard Class,117163,92037,CHO-NUT-13000,10.47,3,7.47,3
79,US-2021-117163-CHO-TRI-54000,20210127,20260726,Standard Class,117163,92037,CHO-TRI-54000,15,4,9.8,5.2
80,US-2021-117163-CHO-SCR-58000,20210127,20260726,Standard Class,117163,92037,CHO-SCR-58000,3.6,1,2.5,1.1
1884,US-2021-108273-CHO-MIL-31000,20211216,20270613,Standard Class,108273,77340,CHO-MIL-31000,6.5,2,4.22,2.28
1889,US-2021-108273-CHO-TRI-54000,20211216,20270613,Standard Class,108273,77340,CHO-TRI-54000,26.25,7,17.15,9.1
2977,US-2022-169656-CHO-TRI-54000,20220813,20280206,First Class,169656,19143,CHO-TRI-54000,11.25,3,7.35,3.9
7096,US-2024-123085-CHO-SCR-58000,20240303,20290829,Standard Class,123085,90008,CHO-SCR-58000,10.8,3,7.5,3.3
7100,US-2024-123085-CHO-NUT-13000,20240303,20290829,Standard Class,123085,90008,CHO-NUT-13000,27.92,8,19.92,8
146,US-2021-105648-CHO-MIL-31000,20210303,20260828,Standard Class,105648,92037,CHO-MIL-31000,9.75,3,6.33,3.42
6456,US-2023-142594-CHO-MIL-31000,20231201,20290528,Second Class,142594,02038,CHO-MIL-31000,16.25,5,10.55,5.7
6458,US-2023-142594-CHO-MIL-31000,20231201,20290528,Second Class,142594,02038,CHO-MIL-31000,9.75,3,6.33,3.42
6470,US-2023-142594-CHO-TRI-54000,20231201,20290528,Second Class,142594,02038,CHO-TRI-54000,11.25,3,7.35,3.9
7641,US-2024-133641-CHO-NUT-13000,20240514,20291111,Standard Class,133641,39503,CHO-NUT-13000,31.41,9,22.41,9
8557,US-2024-147410-CHO-MIL-31000,20240904,20300301,Standard Class,147410,92704,CHO-MIL-31000,6.5,2,4.22,2.28
9301,US-2024-110989-CHO-MIL-31000,20241103,20300428,Second Class,110989,98105,CHO-MIL-31000,9.75,3,6.33,3.42
218,US-2021-111871-CHO-FUD-51000,20210318,20260911,Second Class,111871,94110,CHO-FUD-51000,36,10,24,12
3835,US-2022-154340-CHO-FUD-51000,20221129,20280522,First Class,154340,92704,CHO-FUD-51000,7.2,2,4.8,2.4
4072,US-2022-109113-CHO-SCR-58000,20221219,20280614,Standard Class,109113,60610,CHO-SCR-58000,7.2,2,5,2.2
9490,US-2024-108091-CHO-NUT-13000,20241116,20300514,Standard Class,108091,92025,CHO-NUT-13000,13.96,4,9.96,4
